Sku,Name,Description,Price,StockQuantity,Category,Brand,ImageUrl
"AUR-HEAD-001","Aurora Wireless Headphones","Over-ear wireless headphones with adaptive noise control, 40-hour battery life and USB-C fast charging.","149.00","24","Audio","Aurora","https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=1200&q=80"
"ORB-KEY-001","Orbit Mechanical Keyboard","Compact wireless mechanical keyboard with tactile switches, hot-swappable keys and multi-device pairing.","109.00","18","Workspace","Orbit","https://images.unsplash.com/photo-1587829741301-dc798b83add3?auto=format&fit=crop&w=1200&q=80"
"FLD-DESK-001","Field Notes Desk Set","Desk organizer set with notebook, pen, cable clips and a low-profile storage tray.","39.00","35","Workspace","Field Notes","https://images.unsplash.com/photo-1499951360447-b19be8fe80f5?auto=format&fit=crop&w=1200&q=80"
"ATL-HUB-001","Atlas USB-C Hub","Seven-port USB-C hub with HDMI, Ethernet and power-delivery passthrough.","79.00","20","Accessories","Atlas","https://images.unsplash.com/photo-1625948515291-69613efd103f?auto=format&fit=crop&w=1200&q=80"
"NOVA-MON-001","Nova 27-inch 4K Monitor","27-inch 4K IPS display with USB-C charging, height adjustment and accurate sRGB color.","429.00","12","Displays","Nova","https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?auto=format&fit=crop&w=1200&q=80"
"WAVE-SPEAK-001","Wave Bluetooth Speaker","Portable Bluetooth speaker with balanced sound, IP67 water resistance and 16-hour battery life.","89.00","28","Audio","Wave","https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?auto=format&fit=crop&w=1200&q=80"
"LUMA-LAMP-001","Luma Desk Lamp","Adjustable LED desk lamp with warm-to-cool color modes and USB-C charging port.","64.00","22","Workspace","Luma","https://images.unsplash.com/photo-1507473885765-e6ed057f782c?auto=format&fit=crop&w=1200&q=80"
"TRAIL-BAG-001","Trail Everyday Backpack","Water-resistant 22-liter backpack with padded laptop sleeve and organized accessory pockets.","96.00","16","Travel","Trail","https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=1200&q=80"
"SUMMIT-BOTTLE-001","Summit Insulated Bottle","Stainless steel insulated bottle that keeps drinks cold for 24 hours or hot for 12 hours.","32.00","42","Travel","Summit","https://images.unsplash.com/photo-1602143407151-7111542de6e8?auto=format&fit=crop&w=1200&q=80"
"CANVAS-TOTE-001","Canvas Market Tote","Reusable cotton canvas tote with reinforced handles and an internal zip pocket.","24.00","40","Travel","Canvas","https://images.unsplash.com/photo-1597481499666-130f8ebd94d0?auto=format&fit=crop&w=1200&q=80"
"PULSE-MOUSE-001","Pulse Ergonomic Mouse","Wireless ergonomic mouse with quiet buttons, adjustable DPI and USB-C rechargeability.","59.00","26","Accessories","Pulse","https://images.unsplash.com/photo-1527814050087-3793815479db?auto=format&fit=crop&w=1200&q=80"
"ARC-WEBCAM-001","Arc 4K Webcam","4K webcam with autofocus, dual microphones and an integrated privacy shutter.","129.00","14","Accessories","Arc","https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04?auto=format&fit=crop&w=1200&q=80"
"FOCUS-STAND-001","Focus Laptop Stand","Aluminum laptop stand with adjustable height and open airflow for 11 to 16-inch laptops.","49.00","31","Workspace","Focus","https://images.unsplash.com/photo-1517336714731-489689fd1ca8?auto=format&fit=crop&w=1200&q=80"
"CLOUD-SSD-001","Cloud Portable SSD 1TB","Compact 1TB USB-C solid-state drive with hardware encryption and high-speed transfers.","119.00","19","Storage","Cloud","https://images.unsplash.com/photo-1531492746076-161ca9bcad58?auto=format&fit=crop&w=1200&q=80"
"FRAME-CASE-001","Frame Phone Case","Protective clear phone case with raised edges and MagSafe-compatible magnetic ring.","29.00","48","Accessories","Frame","https://images.unsplash.com/photo-1601593346740-925612772716?auto=format&fit=crop&w=1200&q=80"
"MOTION-CHARGER-001","Motion Charging Stand","Two-device wireless charging stand with fast charging and a compact travel-friendly fold.","69.00","23","Accessories","Motion","https://images.unsplash.com/photo-1586953208448-b95a79798f07?auto=format&fit=crop&w=1200&q=80"
"EMBER-MUG-001","Ember Ceramic Mug","Double-wall ceramic travel mug with a secure lid and comfortable silicone grip.","28.00","37","Home","Ember","https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?auto=format&fit=crop&w=1200&q=80"
"HAVEN-THROW-001","Haven Woven Throw","Soft woven throw blanket for reading corners, work breaks and everyday home comfort.","54.00","17","Home","Haven","https://images.unsplash.com/photo-1583845112203-454c7f841e8b?auto=format&fit=crop&w=1200&q=80"
"STUDIO-CHAIR-001","Studio Task Chair","Supportive adjustable task chair with breathable mesh back and lumbar support.","249.00","9","Workspace","Studio","https://images.unsplash.com/photo-1505843490701-5b4a117b4e74?auto=format&fit=crop&w=1200&q=80"
"LENS-LIGHT-001","Lens Video Light","Compact LED video light with adjustable color temperature and rechargeable battery.","74.00","21","Creator","Lens","https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=1200&q=80"
"NOTE-TAB-001","Note Tablet Sleeve","Slim protective tablet sleeve with soft lining and a front pocket for charger and stylus.","36.00","34","Accessories","Note","https://images.unsplash.com/photo-1541807084-5c52b6b3adef?auto=format&fit=crop&w=1200&q=80"
"GRID-CABLE-001","Grid Cable Kit","Organized USB-C cable kit with three durable braided cables and a travel pouch.","27.00","45","Accessories","Grid","https://images.unsplash.com/photo-1550009158-9ebf69173e03?auto=format&fit=crop&w=1200&q=80"
"MINT-PLANT-001","Mint Planter Set","Set of two self-watering desktop planters designed for small herbs and indoor greenery.","43.00","15","Home","Mint","https://images.unsplash.com/photo-1485955900006-10f4d324d411?auto=format&fit=crop&w=1200&q=80"
"ROAM-ADAPTER-001","Roam Travel Adapter","Universal travel adapter with USB-C fast charging and built-in safety fuse.","46.00","30","Travel","Roam","https://images.unsplash.com/photo-1527631746610-bca00a040d60?auto=format&fit=crop&w=1200&q=80"
